externalId,stationId,capacity,rental_uris.ios,rental_uris.android,electric_bike_surcharge_waiver,lat,eightd_station_services,eightd_has_key_dispenser,has_kiosk,name,short_name,lon,rental_methods,station_type,region_id,address
a3b4399a-a135-11e9-9cda-0a87ae2ba916,a3b4399a-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.892048,[],false,true,Smith Park,643,-87.689397,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
732c9f35-0c82-4128-acc3-2cf447298b1d,732c9f35-0c82-4128-acc3-2cf447298b1d,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.66869635332246,[],false,true,Major Taylor Trail & 124th St,20208,-87.63711333274841,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3acb1de-a135-11e9-9cda-0a87ae2ba916,a3acb1de-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.88445395657,[],false,true,California Ave & Lake St,15666,-87.6962981368,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.7282338,[],false,true,Prospect Sq & 91st St,20103,-87.6675239,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3af8123-a135-11e9-9cda-0a87ae2ba916,a3af8123-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.96835449363,[],false,true,Christiana Ave & Lawrence Ave,15615,-87.7118306675,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,27,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.9256018819,[],false,true,Sheffield Ave & Fullerton Ave,TA1306000016,-87.6537080423,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a80512-a135-11e9-9cda-0a87ae2ba916,a3a80512-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.915983,[],false,true,Damen Ave & Cortland St,13133,-87.677335,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ab86b6-a135-11e9-9cda-0a87ae2ba916,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,23,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.871262,[],false,true,Wolcott Ave & Polk St,TA1309000064,-87.673688,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a60781db-2bec-4a15-a4a2-363297aefcec,a60781db-2bec-4a15-a4a2-363297aefcec,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.76160543804394,[],false,true,Halsted St & 73rd St,20244,-87.64416097666071,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b10a40-a135-11e9-9cda-0a87ae2ba916,a3b10a40-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.885409,[],false,true,Pulaski Rd & Lake St,528,-87.726491,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a565b1-a135-11e9-9cda-0a87ae2ba916,a3a565b1-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.87184,[],false,true,Halsted St & Polk St,TA1307000121,-87.64664,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ad8072-a135-11e9-9cda-0a87ae2ba916,a3ad8072-a135-11e9-9cda-0a87ae2ba916,31,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.791478,[],false,true,University Ave & 57th St,KA1503000071,-87.599861,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a3b202-a135-11e9-9cda-0a87ae2ba916,a3a3b202-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.90985465216731,[],false,true,Paulina Ave & North Ave,TA1305000037,-87.66993016004562,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
ff21c158-de98-46c6-9ef7-7082bdb7c634,ff21c158-de98-46c6-9ef7-7082bdb7c634,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.64850076266409,[],false,true,Hegewisch Metra Station,20215,-87.54608988761902,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a8855c-a135-11e9-9cda-0a87ae2ba916,a3a8855c-a135-11e9-9cda-0a87ae2ba916,23,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.961004,[],false,true,Clarendon Ave & Junior Ter,13389,-87.649603,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3af460f-a135-11e9-9cda-0a87ae2ba916,a3af460f-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.978030622486564,[],false,true,Clark St & Berwyn Ave,KA1504000146,-87.66856491565704,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b13e66-a135-11e9-9cda-0a87ae2ba916,a3b13e66-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.872131,[],false,true,Cicero Ave & Flournoy St,16912,-87.746619,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.81409271048,[],false,true,Woodlawn Ave & Lake Park Ave,KA1503000065,-87.5970051479,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a62566-a135-11e9-9cda-0a87ae2ba916,a3a62566-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.8985866514,[],false,true,Mies van der Rohe Way & Chestnut St,15529,-87.6219152258,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a72012-a135-11e9-9cda-0a87ae2ba916,a3a72012-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.90230870122,[],false,true,Rush St & Cedar St,KA1504000133,-87.627690528,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3b11480-a135-11e9-9cda-0a87ae2ba916,a3b11480-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.887832,[],false,true,Laramie Ave & Kinzie St,530,-87.755527,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
759171ce-f355-4740-948d-e14bb8f7dc0e,759171ce-f355-4740-948d-e14bb8f7dc0e,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.651799,[],false,true,Avenue O & 134th St,20214,-87.540696,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a52df5-a135-11e9-9cda-0a87ae2ba916,a3a52df5-a135-11e9-9cda-0a87ae2ba916,23,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.883703,[],false,true,Desplaines St & Randolph St,15535,-87.644238,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a41004-a135-11e9-9cda-0a87ae2ba916,a3a41004-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.9267559875,[],false,true,Cannon Dr & Fullerton Ave,13124,-87.6344287848,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a8999a-a135-11e9-9cda-0a87ae2ba916,a3a8999a-a135-11e9-9cda-0a87ae2ba916,31,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.963982,[],false,true,Montrose Harbor,TA1308000012,-87.638181,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
